speakers,durations,topics,views,descriptions,tags,lengths
Ricardo Semler,1302,How to run a company with almost no rules,3438543,What if your job didnt control your life Brazilian CEO Ricardo Semler practices a radical form of corporate democracy rethinking everything from board meetings to how workers report their vacation days they dont have to Its a vision that rewards the wisdom of workers promotes worklife balance  and leads to some deep insight on what work and life is really all about Bonus question What if schools were like this too,business|creativity|philosophy|work|leadership,0:21:42
Rutger Bregman,898,Poverty isnt a lack of character its a lack of cash,3426767,Ideas can and do change the world says historian Rutger Bregman sharing his case for a provocative one guaranteed basic income Learn more about the ideas 500year history and a forgotten modern experiment where it actually worked  and imagine how much energy and talent we would unleash if we got rid of poverty once and for all,capitalism|inequality|economics|policy|resources|society|social change|money|work,0:14:58
Mel Rosenberg,285,What causes cavities,3425390,When a team of archeologists recently came across some 15000yearold human remains they made an interesting discovery the teeth of those ancient humans were riddled with holes So what causes cavities and how can we avoid them Mel Rosenberg takes us inside our teeth to find out Directed by Andrew Foerster narrated by Addison Anderson music by Devin Polaski,health|public health|healthcare||animation|health care|archaeology,0:04:45
Eleanor Nelsen,235,How to unboil an egg,3423602,Its so obvious that its practically proverbial you cant unboil an egg But actually it turns out that you can  sort of Eleanor Nelsen explains the process by which mechanical energy can undo what thermal energy has done Directed by Provncia Studio narrated by Addison Anderson,animation|science||energy|physics|food,0:03:55
Liv Boeree,367,3 lessons on decisionmaking from a poker champion,3419154,Is it better to be lucky or good Should we trust our gut feelings or rely on probabilities and careful analysis when making important decisions In this quick talk professional poker player Liv Boeree shares three strategies shes learned from the game and how we can apply them to real life,gaming|math|sports|psychology|choice,0:06:07
Chad Orzel,269,What is the Heisenberg Uncertainty Principle,3418558,The Heisenberg Uncertainty Principle states that you can never simultaneously know the exact position and the exact speed of an object Why not Because everything in the universe behaves like both a particle and a wave at the same time Chad Orzel navigates this complex concept of quantum physics Directed by Henrik Malmgren narrated by Addison Anderson,|animation|science|physics|quantum physics|universe,0:04:29
Bobby McFerrin,184,Watch me play  the audience,3417432,In this fun 3min performance from the World Science Festival musician Bobby McFerrin uses the pentatonic scale to reveal one surprising result of the way our brains are wired,brain|mind|music|performance|live music,0:03:04
Nilofer Merchant,208,Got a meeting Take a walk,3416043,Nilofer Merchant suggests a small idea that just might have a big impact on your life and health Next time you have a oneonone meeting make it into a walking meeting  and let ideas flow while you walk and talk,business|communication|health|exercise,0:03:28
Natalie Fratto,391,3 ways to measure your adaptability  and how to improve it,3415726,When venture investor Natalie Fratto is determining which startup founder to support she doesnt just look for intelligence or charisma she looks for adaptability In this insightful talk Fratto shares three ways to measure your adaptability quotient  and shows why your ability to respond to change really matters,start-up|leadership|business|entrepreneur|investment|intelligence|personal growth,0:06:31
Barry Schwartz,482,The way we think about work is broken,3408316,What makes work satisfying Apart from a paycheck there are intangible values that Barry Schwartz suggests our current way of thinking about work simply ignores Its time to stop thinking of workers as cogs on a wheel,business|economics|happiness|psychology|work|science|TED Books,0:08:02
